Day,Project Title,Exam Objective,Description,Tool(s) Used
20,Analyze Attacks and Malware,SY0-601 1.3,"Classify DoS, MITM, ransomware, worms. (THM: Malware Playground)",—
20,Indicators of Compromise (IOCs),SY0-601 1.4,Identify IOCs in logs. (THM: SOC Level 1),—
21,Vulnerabilities and Misconfigurations,SY0-601 1.5,List and test for misconfigurations.,—
21,Threat Intelligence Sources,SY0-601 1.6,"Review threat feeds, STIX/TAXII. (THM: Threat Intelligence)",—
21,Pen Testing vs. Vulnerability Scanning,SY0-601 1.7,Compare tools and objectives. (THM: Vulnerability Management),—
21,Attack Frameworks Overview,SY0-601 1.8,"Explore MITRE ATT&CK, Kill Chain. (THM: MITRE ATT&CK)",—
22,Security Controls and Frameworks,SY0-601 2.1,"List administrative, technical, physical controls.",—
22,Secure Network Architecture,SY0-601 2.2,"Design segmented, firewalled topology.",—
22,Security Implications of Embedded Systems,SY0-601 2.3,"Review IoT, RTOS threats. (THM: IoT Security)",—
22,Security in Cloud and Virtualization,SY0-601 2.4,Secure AWS/GCP/Azure workloads. (THM: Cloud Fundamentals),—
23,Secure Application Development,SY0-601 2.5,List secure coding practices. (THM: OWASP Top 10),—
23,Authentication and Authorization Models,SY0-601 2.6,"Compare SAML, OAuth, OpenID.",—
23,Wireless Security Configurations,SY0-601 2.7,"Implement WPA2/3, EAP.",—
23,Implement Secure Protocols,SY0-601 2.8,"Use SSH, TLS, SFTP, HTTPS. (THM: Network Security Basics)",—
24,Compare Identity Types,SY0-601 3.1,"Define users, services, federated identity.",—
24,Identity and Account Management Controls,SY0-601 3.2,"Use MFA, time-based restrictions.",—
24,Authentication Protocols,SY0-601 3.3,"Compare PAP, CHAP, MS-CHAP.",—
24,IAM Solutions and Considerations,SY0-601 3.4,Implement role-based and rule-based access.,—
25,Basic Cryptographic Concepts,SY0-601 3.5,"Define hashing, encryption, obfuscation.",—
25,Cryptographic Algorithms,SY0-601 3.6,"Use AES, RSA, SHA, ECC.",—
25,PKI Components and Concepts,SY0-601 3.7,Create and use certs with OpenSSL.,—
25,Certificate Formats and Use Cases,SY0-601 3.8,"Compare .pem, .cer, .pfx.",—
26,Secure Network Protocols,SY0-601 4.1,"Deploy VPN, HTTPS, SNMPv3.",—
26,Security Tools: IDS/IPS/SIEM,SY0-601 4.2,Install and configure Wazuh. (THM: SIEM Tools),Wazuh
26,Analyze Output from Security Tools,SY0-601 4.3,"Interpret firewall, AV, and SIEM logs.",—
26,Common Security Issues,SY0-601 4.4,"Analyze misconfigurations, weak passwords.",—
27,Implement Secure Protocols,SY0-601 4.5,"Enforce HTTPS, secure APIs.",—
27,Mobile and Embedded System Security,SY0-601 4.6,"Secure phones, printers, SCADA.",—
27,Hardening Techniques,SY0-601 4.7,"Disable services, apply least privilege.",—
27,Implementing Monitoring Tools,SY0-601 4.8,"Use logs, baselining, alerts.",—
28,Governance and Risk Concepts,SY0-601 5.1,"Define risk appetite, frameworks.",—
28,Security Policies and Procedures,SY0-601 5.2,"Draft AUP, NDA, classification policy.",—
28,Business Impact Analysis,SY0-601 5.3,"Create BIA, define RPO/RTO.",—
28,Incident Response Planning,SY0-601 5.4,Design incident response workflow. (THM: IR Playbook),—
29,Digital Forensics Process,SY0-601 5.5,"Document chain of custody, acquisition steps.",Git
29,Data Privacy and Protection,SY0-601 5.6,"Define PII, GDPR, HIPAA.",—
29,Physical Security Controls,SY0-601 5.7,"Review fences, locks, security guards.",—
29,Review of Legal and Compliance,SY0-601 5.8,"Compare laws, licensing, data ownership.",—
30,Security+ Practice Exam,SY0-601 Final,Take a timed practice exam and analyze results.,—
30,Security+ Lab Log and Reflections,SY0-601 Final,Compile documentation of all labs and projects.,—
30,Secure System Setup and Walkthrough,SY0-601 Final,Configure a hardened Linux/Windows VM and record video overview.,—
